,장소코드,장소명,시간대,혼잡수준,최소인원,최대인원
118,POI010,보신각,2024-04-16 05:00,여유,900,1000
119,POI010,보신각,2024-04-16 06:00,여유,1000,1500
120,POI011,서울 암사동 유적,2024-04-15 19:00,보통,300,400
121,POI011,서울 암사동 유적,2024-04-15 20:00,여유,300,400
122,POI011,서울 암사동 유적,2024-04-15 21:00,여유,300,400
123,POI011,서울 암사동 유적,2024-04-15 22:00,여유,300,400
124,POI011,서울 암사동 유적,2024-04-15 23:00,여유,200,300
125,POI011,서울 암사동 유적,2024-04-16 00:00,여유,200,300
126,POI011,서울 암사동 유적,2024-04-16 01:00,여유,200,300
127,POI011,서울 암사동 유적,2024-04-16 02:00,여유,200,300
128,POI011,서울 암사동 유적,2024-04-16 03:00,여유,200,300
129,POI011,서울 암사동 유적,2024-04-16 04:00,여유,200,300
130,POI011,서울 암사동 유적,2024-04-16 05:00,여유,200,300
131,POI011,서울 암사동 유적,2024-04-16 06:00,여유,100,200
132,POI012,창덕궁·종묘,2024-04-15 19:00,약간 붐빔,12000,14000
133,POI012,창덕궁·종묘,2024-04-15 20:00,여유,8500,9000
134,POI012,창덕궁·종묘,2024-04-15 21:00,여유,7000,7500
135,POI012,창덕궁·종묘,2024-04-15 22:00,여유,6000,6500
136,POI012,창덕궁·종묘,2024-04-15 23:00,여유,5000,5500
137,POI012,창덕궁·종묘,2024-04-16 00:00,여유,4500,5000
138,POI012,창덕궁·종묘,2024-04-16 01:00,여유,4000,4500
139,POI012,창덕궁·종묘,2024-04-16 02:00,여유,3500,4000
140,POI012,창덕궁·종묘,2024-04-16 03:00,여유,3500,4000
141,POI012,창덕궁·종묘,2024-04-16 04:00,여유,3500,4000
142,POI012,창덕궁·종묘,2024-04-16 05:00,여유,3500,4000
143,POI012,창덕궁·종묘,2024-04-16 06:00,여유,3500,4000
144,POI013,가산디지털단지역,2024-04-15 19:00,붐빔,40000,42000
145,POI013,가산디지털단지역,2024-04-15 20:00,보통,26000,28000
146,POI013,가산디지털단지역,2024-04-15 21:00,여유,18000,20000
147,POI013,가산디지털단지역,2024-04-15 22:00,여유,14000,16000
148,POI013,가산디지털단지역,2024-04-15 23:00,여유,10000,12000
149,POI013,가산디지털단지역,2024-04-16 00:00,여유,8000,8500
150,POI013,가산디지털단지역,2024-04-16 01:00,여유,6000,6500
151,POI013,가산디지털단지역,2024-04-16 02:00,여유,5000,5500
152,POI013,가산디지털단지역,2024-04-16 03:00,여유,4500,5000
153,POI013,가산디지털단지역,2024-04-16 04:00,여유,4500,5000
154,POI013,가산디지털단지역,2024-04-16 05:00,여유,5000,5500
155,POI013,가산디지털단지역,2024-04-16 06:00,여유,5500,6000
156,POI014,강남역,2024-04-15 19:00,붐빔,76000,78000
157,POI014,강남역,2024-04-15 20:00,약간 붐빔,66000,68000
158,POI014,강남역,2024-04-15 21:00,보통,54000,56000
159,POI014,강남역,2024-04-15 22:00,보통,46000,48000
160,POI014,강남역,2024-04-15 23:00,여유,34000,36000
161,POI014,강남역,2024-04-16 00:00,여유,22000,24000
162,POI014,강남역,2024-04-16 01:00,여유,16000,18000
163,POI014,강남역,2024-04-16 02:00,여유,14000,16000
164,POI014,강남역,2024-04-16 03:00,여유,14000,16000
165,POI014,강남역,2024-04-16 04:00,여유,12000,14000
166,POI014,강남역,2024-04-16 05:00,여유,10000,12000
167,POI014,강남역,2024-04-16 06:00,여유,10000,12000
168,POI015,건대입구역,2024-04-15 19:00,보통,28000,30000
169,POI015,건대입구역,2024-04-15 20:00,약간 붐빔,30000,32000
170,POI015,건대입구역,2024-04-15 21:00,보통,28000,30000
171,POI015,건대입구역,2024-04-15 22:00,보통,26000,28000
172,POI015,건대입구역,2024-04-15 23:00,여유,24000,26000
173,POI015,건대입구역,2024-04-16 00:00,여유,22000,24000
